IRUC;NroEstablec;CodSector;CodFormato;CodCapitulo;FlagEstablecimiento;Clave;texto1;dato1;dato2;texto2;texto3;texto4;texto5;FAC_EXP
34476;0;1;F2;0;1;0;1;3825177;3661118;12;AGENCIA DE VIAJES Y TURISMO  OTROS SERVICIOS DE RESERVAS Y ACTIVIDADES CONEXAS;VENTA DE PAQUETES INTERNACIONALES;7990;9.5
178066;0;1;F2;0;1;0;1;3895121;3283161;12;AGENCIAS DE VIAJES Y OPERADORES TURISTICOS;VENTA DE PAQUETES TURISTICOS A NIVEL NACIONAL E INTERNACIONAL;7912;9.5
146717;0;1;F2;0;1;0;2;5776541;7122087;12;OPERADOR DE TURISMO;OPERADOR DE TURISMO;7912;9.5
155176;0;1;F2;0;1;0;1;3433822;3575101;12;OPERADOR DE TURISMO;PAQUETES TURISTICOS RECEPTIVO EN EL PERU;7912;9.5
16082;0;1;F2;0;1;0;2;6180069;5172255;12;OPERADORES TURISTICOS Y ACTIVIDAD DE AGENCIA DE VIAJES;TURISMO DE AVENTURA;7912;9.5
120862;0;1;F2;0;1;0;1;2559922;4376345;12;AGENCIA DE VIAJES;PAQUETE TURISTICO NACIONAL E INTERNACIONAL;7911;9.5
11008;0;1;F2;0;1;0;2;126513399;113012157;12;VENTA DE PAQUETES TURISTICOS NACIONAL E INTERNACIONAL;TURISMO;7990;4
31385;0;1;F2;0;1;0;1;4110045;3900241;12;TRANSPORTE DE TURISMO;SS POOL A AGENCIAS EN LA CIUDAD DEL CUSCO  CITY TOUR VALLE SAGRADO MACHUPICHU TRANSPORTE;7990;4
152155;0;1;F2;0;1;0;1;5491981;6177266;6;OPERADOR TURISTICO;SERVICIO TURISTICO;7912;4
41070;0;1;F2;0;1;0;1;4343477;3535654;12;ACTIVIDADES COMO OPERADOR DE TURISMO;VENTA DE PAQUETES DE TURISMO;7912;4
29207;0;1;F2;0;1;0;1;18858236;20543452;12;AGENCIA DE VIAJES Y TURISMO;AGENCIA DE VIAJES Y TURISMO;7911;4
122336;0;1;F2;0;1;0;1;4247300;4117195;12;TURISMO VIVENCIAL;TURISMO VIVENCIAL;7911;4
19131;0;1;F2;0;1;0;2;7140907;8112558;12;AGENCIA DE VIAJES Y TURISMO;VENTA DE PAQUETES TURISTICOS Y BOLETOS AEREOS;7912;12
11004;0;1;F2;0;1;0;1;31570995;31748279;12;ASISTENCIA INTEGRAL AL VIAJERO;ASISTENCIA INTEGRAL AL VIAJERO;7990;1.078947
29213;0;1;F2;0;1;0;2;23750812;21835141;12;COMERCIALIZACION Y PRESTACION DE SERVICIOS TURISTICOS DENTRO DE TODO EL TERRITORIO PERUANO PARA EMPR;COMERCIALIZACION Y PRESTACION DE SERVICIOS TURISTICOS;7912;1.078947
11039;0;1;F2;0;1;0;1;18985765;17969044;12;ACTIVIDADES DE OPERACIONES TURISTICAS;SERVICIO DE TURISMO RECEPTIVO;7912;1.078947
18155;0;1;F2;0;1;0;4;128267851;137051161;12;VENTA DE PAQUETES Y SERVICIOS DE TURISMO RECEPTIVO;VENTA DE PAQUETES DE TURISMO RECEPTIVO;7912;1.078947
21332;0;1;F2;0;1;0;2;41581771;34010841;12;AGENCIA DE VIAJES  TURISMO RECEPTIVO;VENTA DE PAQUETES TURISTICOS A AGENCIAS DEL EXTERIOR;7912;1.078947
30035;0;1;F2;0;1;0;5;170982092;177415000;12;OPERADOR DE TURISMO;SERVICIOS TURISTICOS;7912;1.078947
137026;0;1;F2;0;1;0;2;46043627;44540940;12;SERVICIOS DE OPERADOR TURISTICO;VENTA DE PAQUETES TURISTICOS EN PERU;7912;1.078947
10969;0;1;F2;0;1;0;2;17658733;19357151;12;OPERADOR DE TURISMO;SERVICIOS;7912;1.078947
10980;0;1;F2;0;1;0;2;45097533;46849968;12;AGENCIAS DE VIAJES;TURISMO RECEPTIVO;7912;1.078947
10135;0;1;F2;0;1;0;4;18179399;15733642;12;SERVICIOS TURISTICOS;VENTA DE PAQUETES TURISTICOS;7912;1.078947
10229;0;1;F2;0;1;0;2;221671580;22892610;12;DESARROLLO DEL TURISIMO SOSTENIBLE ATRAVEZ DE EXPERIENCIAS DE VIAJE QUE EXCEDAN LAS EXPECTATIVAS;TURISMO RECEPTIVO;7912;1.078947
11994;0;1;F2;0;1;0;1;106897317;127867450;12;OPERADOR TURISTICO;OPERADOR TURISTICO;7912;1.078947
12148;0;1;F2;0;1;0;2;13495618;14529881;12;MAYORISTA DE TURISMO RECEPTIVO;PAQUETES TURISTICOS A NO DOMILIADOS EN PERU;7912;1.078947
17211;0;1;F2;0;1;0;2;23027953;19823240;12;ACTIVIDADES DE AGENCIAS DE VIAJES;ACTIVIDADES DE AGENCIAS DE VIAJES;7912;1.078947
12246;0;1;F2;0;1;0;2;20291983;21549315;12;AGENCIA DE VIAJES Y TURISMO;PAQUETES TURISTICOS;7912;1.078947
10893;0;1;F2;0;1;0;1;13259288;15086336;12;AGENCIA DE VIAJE Y TURISMO QUE OPERA TURISMO RECEPTIVO NACIONAL E INTERNACIONAL;TURISMO RECEPTIVO NACIONAL  EMISION DE TICKET NACIONAL E INTERNACIOMAL;7911;1.078947
11898;0;1;F2;0;1;0;4;10805391;10661596;12;AGENCIA DE VIAJES Y TURISMO;ACTIVIDADES TURISTICAS;7911;1.078947
13122;0;1;F2;0;1;0;19;74677922;81424928;12;AGENCIA DE VIAJES Y GUIAS TURISTICAS;VENTA DE PAQUETES TURISTICOS;7911;1.078947
15683;0;1;F2;0;1;0;2;29057791;24218763;12;AGENCIA DE VIAJES Y TURISMO;VENTA DE BOLETOS AEREOS Y PAQUETES TURISTICOS NACIONALES E INTERNACIONALES;7911;1.078947
16811;0;1;F2;0;1;0;1;15675553;14265214;12;AGENCIA DE VIAJES Y TURISMO RECEPTIVO;TURISMO RECEPTIVO;7911;1.078947
112553;0;1;F2;0;1;0;1;17157639;15928321;12;VENTA DE BOLETOS AEREOS Y SERV TURISTICOS AL EXTERIOR;AGENCIA DE VIAJESVENTA DE BOLETOS AEREOS Y SERV TURISTICOS AL EXTERIOR;7911;1.078947
151964;0;1;F2;0;1;0;1;22872632;13696333;12;SERVICIO DE TRANSPORTE TURISTICO CON GUIADO;SERVICIO DE TRANSPORTE TURISTICO CON GUIADO;7911;1.078947
176143;0;1;F2;0;1;0;1;14675623;13558513;12;AGENCIA DE VIAJES Y GUIAS TURISTICAS;AGENCIA DE VIAJES Y GUIAS TURISTICAS;7911;1.078947
21638;0;1;F2;0;1;0;2;62872740;67528167;12;AGENCIA DE VIAJES Y TURISMO;VENTA DE PAQUETES TURISTICOS;7911;1.078947
25404;0;1;F2;0;1;0;1;53506671;61328634;12;ACTIVIDAD DE AGENCIA DE VIAJES;VENTA DE TICKET ALOJAMIENTO Y PAQUETE TURISTICO;7911;1.078947
11035;0;1;F2;0;1;0;2;17109366;14947751;12;AGENCIA DE VIAJES  VENTAS DE SISTEMA INFORMATICO;AGENCIA DE VIAJES;7911;1.078947
109168;0;1;F2;0;1;0;2;4961826;3667769;12;SERVICIO DE AGENCIA DE VIAJES;SERVICIO DE AGENCIA DE VIAJES;7911;1.078947
18264;0;1;F2;0;1;0;1;61241610;64748668;12;EMISION DE BOLETOS AEREOS RESERVA DE HOTELES Y SERVICIOS TURISTICOS Y OTROS AFINES;VENTA DE PAQUETES TURISTICOS;7911;1.078947
110481;0;1;F2;0;1;0;14;51397552;40098534;12;AGENCIAMIENTO DE VIAJES INTERMEDIACION DE TKT AEREOS HOTELERIA Y OTROS SERVICIOS TURISTICOS;INTERMEDIACION DE TKT AEREOS Y HOTELERIA NACIONAL;7911;1.078947
143056;0;1;F2;0;1;0;1;13401627;11062628;12;AGENCIA DE VIAJES;AGENCIA DE VIAJES;7911;1.078947
14434;0;1;F2;0;1;0;1;9997525;10948635;12;SERVCIOS TURISTICOS RECEPTIVO;PAQUETES TURISTICOS A NIVEL NACIONAL;7911;1.078947
21680;0;1;F2;0;1;0;1;34123038;33299064;12;AGENCIA DE VIAJES;VENTA DE SERVICIOS TURISTICOS TKS AEREOS;7911;1.078947
11031;0;1;F2;0;1;0;7;30258430;33038191;12;AGENCIA DE VIAJES Y TURISMO;VENTA DE SERVICIOS TURISTICOSY BOLETOS AEREOS;7911;1.078947
13675;0;1;F2;0;1;0;1;18659757;16970864;12;VENTA DE BOLETOS AEROS INTERNACIONALES Y NACIONALES  VENTA DE PAQUETES INTERNACIONALES Y NACIONALES;PAQUETES INTERNACIONALES;7911;1.078947
16951;0;1;F2;0;1;0;2;16388294;17773916;12;SERVICIOS DE RESERVAS DE VIAJES Y PAQUETES TURISTICOS;SERVICIOS DE RESERVAS TURISTICAS;7911;1.078947
27429;0;1;F2;0;1;0;3;24348542;24078718;12;SERVICIO DE TOURS OPERADOR Y HOTELERIA;SERVICIO DE TOURS OPERADOR Y HOTELERIA;7911;1.078947
25975;0;1;F2;0;1;0;3;50650953;52451297;12;VENTA DE PAQUETE TURISTICOS Y BOLETOS AEREOS;VENTA DE PAQUETE TURISTICOS Y BOLETOS AEREOS;7911;1.078947
27009;0;1;F2;0;1;0;4;31049779;30168233;12;AGENCIA DE VIAJES;AGENCIA DE VIAJES;7911;1.078947
11836;0;1;F2;0;1;0;4;10070274;10070274;12;PAQUETES TURISTICOS;PAQUETES TURISTICOS;7912;1
113448;0;1;F2;0;1;0;1;13092670;8656185;12;ACTIVIDADES DE OPERADORES TURISTICOS;SERVICIO DE TOUR TURISTICO;7912;1
23920;0;1;F2;0;1;0;2;30744875;28515692;12;OPERADOR Y SERVICIOS TURISTICOS EN EMBARCACIONES DE LUJO POR EL RIO AMAZONAS;SERVICIOS TURISTICOS EN EMBARCACIONES DE LUJO POR EL RIO AMAZONAS;7912;1
52224;0;1;F2;0;1;0;1;19155754;17460663;12;AGENCIA DE VIAJES Y TURISMO;AGENCIA DE VIAJES Y TURISMO;7912;1
145768;0;1;F2;0;1;0;1;17177949;10695605;12;AGENCIA DE VIAJES;VENTA DE BOLETOS TURISTICOS Y TOUR;7911;1
156944;0;1;F2;0;1;0;2;11232304;9653624;12;AGENCIA DE VIAJES VENTA DE PAQUETES TURISTICOS A EXTRANJEROS;VENTA DE PAQUETES TURISTICOS A EXTRANJEROS;7911;1
113308;0;1;F2;0;1;0;1;30026377;24085809;12;AGENCIAS DE VIAJES;VENTA DE PAQUETES TURISTICOS;7911;1
137203;0;1;F2;0;1;0;1;2311725;2110190;12;AGENCIAS DE VIAJES Y GUIAS TURISTICOS OTROS TIPOS DE TRANSPORTE VIA TERRESTRE;AGENCIAS DE VIAJES Y GUIAS TURISTICOS;7911;1
110876;0;1;F2;0;1;0;1;14947133;14682232;12;AGENCIA DE VIAJE Y VENTA DE PAQUETES TURISTICOS;VENTA DE PAQUETES TURISTICOS;7911;1
146714;0;1;F2;0;1;0;1;9855602;8143659;12;AGENCIA DE VIAJES OPERADOR DE TURISMO RECEPTIVO;AGENCIA DE VIAJES OPERADOR DE TURISMO RECEPTIVO;7911;1
